pid,content_model,collection_pid,page_of,sequence,constituent_of
imagined:208614,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208594,islandora:sp_basic_image,,,,
imagined:209069,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208723,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208842,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208589,islandora:sp_basic_image,,,,
imagined:209288,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208898,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208965,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208556,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208946,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209023,islandora:mapCModel,imagined:collection,,,
imagined:208620,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208295-p_071,islandora:pageCModel,imagined:208295,imagined:208295,77,
imagined:208488,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_031,islandora:pageCModel,imagined:208296,imagined:208296,37,
imagined:208674,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209183,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208591,islandora:sp_basic_image,,,,
imagined:208823,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208467,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208576,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208401,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208801,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208296-p_002,islandora:pageCModel,imagined:208296,imagined:208296,8,
imagined:208295-p_079,islandora:pageCModel,imagined:208295,imagined:208295,85,
imagined:209137,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209304,islandora:sp_pdf,imagined:pdfs,,,
imagined:208490,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208822,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209133,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_011,islandora:pageCModel,imagined:208295,imagined:208295,17,
imagined:208318,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_050,islandora:pageCModel,imagined:208295,imagined:208295,56,
imagined:208646,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208532,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208775,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208905,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_033,islandora:pageCModel,imagined:208296,imagined:208296,39,
imagined:208882,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208597,islandora:sp_basic_image,,,,
imagined:208296-p_066,islandora:pageCModel,imagined:208296,imagined:208296,72,
imagined:208341,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209068,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208299,islandora:sp_basic_image,,,,
imagined:208494,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208996,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208894,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_009,islandora:pageCModel,imagined:208295,imagined:208295,15,
imagined:208369,islandora:sp_basic_image,,,,
imagined:208295-z_007,islandora:pageCModel,imagined:208295,imagined:208295,106,
imagined:208295-p_013,islandora:pageCModel,imagined:208295,imagined:208295,19,
imagined:209039,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208303,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208718,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:209200,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208485,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208475,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209021,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208446,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209060,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208808,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208295-p_057,islandora:pageCModel,imagined:208295,imagined:208295,63,
imagined:208952,islandora:sp_large_image_cmodel,imagined:meachams,,,
